avg_established_duration,connections_per_second,failure_rate,process_to_ip_diversity,destination_diversity_score,ip_entropy,label
21946.00482,0.054524628,0,7.875,0.075630252,3.216300647,0
31983.25157,0.054579093,0,6.8,0.080508475,3.258254345,0
17380.96388,0.061914229,0,7.25,0.077981651,3.143421512,0
24819.08058,0.052097614,0,6.4,0.094736842,3.328972734,0
36931.34652,0.045119434,0,6.3,0.117647059,3.433890903,0
18947.43417,0.046242775,0,7.125,0.118055556,3.330385964,0
26247.59713,0.04601227,0,6.2,0.133333333,3.425349205,0
16496.56641,0.05086245,0,7,0.139130435,3.286370398,0
28209.36411,0.045224172,0,6,0.155172414,3.458037214,0
30057.80067,0.044657763,0.009345794,7,0.168224299,3.41854477,0
32083.46771,0.043752819,0,6.75,0.175257732,3.4016087,0
19424.85682,0.054070851,0,7,0.195402299,3.280278191,0
34735.28144,0.046413502,0,5.7,0.204545455,3.454259322,0
20801.31162,0.056372549,0,6.285714286,0.231884058,3.233792166,0
16785.49563,0.054956897,0,6.5,0.294117647,3.238192496,0
36532.89845,0.039047619,0,4.5,0.390243902,3.54591329,0
2968.888788,0.069565217,0.03125,5,0.40625,3.206598304,0
135584.9108,0.035629454,0,3.727272727,0.466666667,3.481326123,0
33097.38841,0.049949715,0.004474273,3.756756757,0.062639821,3.545661854,0
16429.03916,0.05242464,0.005,5.157894737,0.0575,3.435784326,0
25849.91829,0.05155968,0.0075,5.263157895,0.0575,3.455335413,0
26667.43175,0.050564035,0.005249344,5.210526316,0.060367454,3.454983109,0
19841.45573,0.051505109,0.00536193,5.157894737,0.061662198,3.454061272,0
17456.73035,0.052328925,0.005494505,5.157894737,0.063186813,3.448141321,0
17786.08103,0.052267373,0.005633803,5.105263158,0.064788732,3.436383595,0
28570.34982,0.050036364,0.005813953,5.210526316,0.066860465,3.469807635,0
29619.8934,0.0489416,0.009202454,5.210526316,0.070552147,3.474718124,0
11690.00152,0.077743902,0,9.666666667,0.215686275,2.917286211,0
18506.78177,0.05094521,0.006289308,5.105263158,0.072327044,3.462085058,0
30877.06909,0.048442907,0.006493506,5.105263158,0.074675325,3.479304299,0
32248.37786,0.047183673,0.010380623,4.947368421,0.079584775,3.488498724,0
23417.69479,0.048035684,0.010714286,4.842105263,0.082142857,3.486852313,0
20267.51678,0.0490709,0.007352941,4.789473684,0.084558824,3.476169816,0
35620.51595,0.044998207,0.007968127,5.055555556,0.091633466,3.512053432,0
16121.79422,0.047169811,0.008888889,7.090909091,0.093333333,3.457007855,0
16679.30059,0.045017483,0.009708738,6.909090909,0.101941748,3.440926922,0
